the_geom,Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Start Time,End Time,Day Of Week,SegmentID,NHoodName,Length In Miles,Shape Length,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End
"MULTILINESTRING ((-73.90067721909898 40.6755982709674, -73.9006737663303 40.67555791589138))",Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,168318,Broadway Junction,0.0027904679114,14.733670586,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.9006737663303 40.67555791589138, -73.90066793014638 40.675489840893036))",Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,168319,Broadway Junction,0.0047072817541,24.8544476478,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90066793014638 40.675489840893036, -73.90022850852631 40.67384934368027))",Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,168320,Broadway Junction,0.115526961256,609.982355444,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95632594538546 40.80570719760236, -73.9577217598986 40.80629098877945))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,38472,Harlem,0.0835392077378,441.087016863,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.954874509854 40.80509688403987, -73.95632594538546 40.80570719760236))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,38478,Harlem,0.0869773791687,459.240562004,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95272325242433 40.804190273342925, -73.954874509854 40.80509688403987))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,38590,Harlem,0.128983235063,681.031481152,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94977111828857 40.8029453369538, -73.95074181966197 40.80335391593543))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,127654,Harlem,0.0581845263918,307.214299315,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.945967897425 40.801342394714595, -73.94756570777007 40.802016003504455))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,127659,Harlem,0.0958113815631,505.884094653,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95203459423107 40.803898029167854, -73.95211258435684 40.80393112790537))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,166435,Harlem,0.00468385970732,24.7307792474,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94918716075036 40.802699541992396, -73.94925910530155 40.802729821441474))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186663,Harlem,0.00431233475685,22.7691275103,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94925910530155 40.802729821441474, -73.94977111828857 40.8029453369538))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186664,Harlem,0.0306906491925,162.046627762,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95074181966197 40.80335391593543, -73.9519544737691 40.80386283132737))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186665,Harlem,0.0726367261799,383.52191425,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.9519544737691 40.80386283132737, -73.95203459423107 40.803898029167854))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186666,Harlem,0.00485254500748,25.6214376524,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94756570777007 40.802016003504455, -73.94910791879728 40.80266613454566))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186669,Harlem,0.0924754396493,488.270321317,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94910791879728 40.80266613454566, -73.94918716075036 40.802699541992396))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186670,Harlem,0.00475163826877,25.0886500649,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95211258435684 40.80393112790537, -73.95219312996785 40.803965309148786))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9003892,Harlem,0.00483726444279,25.5407562319,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95219312996785 40.803965309148786, -73.95232136598322 40.80401972806739))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9003893,Harlem,0.00770134001599,40.6630752917,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95232136598322 40.80401972806739, -73.95240942048285 40.80405709552738))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9003894,Harlem,0.00528820297409,27.9217117089,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95240942048285 40.80405709552738, -73.95272325242433 40.804190273342925))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9003895,Harlem,0.018847404545,99.5142959975,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.93945690810293 40.81602641847847, -73.93952395738427 40.81605471036303))",Harlem,Manhattan,WEST  138 STREET,Lenox Ave,Adam Clayton Powell Blvd,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,173114,Harlem,0.00402073400886,21.2294755928,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.9421945059158 40.81718146722299, -73.9422985147308 40.81722534650212))",Harlem,Manhattan,WEST  138 STREET,Lenox Ave,Adam Clayton Powell Blvd,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,173116,Harlem,0.00623673226929,32.9299463818,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.93952395738427 40.81605471036303, -73.94085139325203 40.81661479491594))",Harlem,Manhattan,WEST  138 STREET,Lenox Ave,Adam Clayton Powell Blvd,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,310561,Harlem,0.0796006789187,420.291584691,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94085139325203 40.81661479491594, -73.94109555841551 40.81671781249486))",Harlem,Manhattan,WEST  138 STREET,Lenox Ave,Adam Clayton Powell Blvd,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,310566,Harlem,0.0146413914193,77.3065467201,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94109555841551 40.81671781249486, -73.9421945059158 40.81718146722299))",Harlem,Manhattan,WEST  138 STREET,Lenox Ave,Adam Clayton Powell Blvd,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,310567,Harlem,0.0658979426866,347.941137346,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.97753101652609 40.6981158124442, -73.97738952769024 40.69638602552427))",Commodore Barry Park,Brooklyn,NORTH ELLIOTT PLACE,Park Ave,Flushing Ave,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,29954,Fort Greene,0.119589518905,631.432659834,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.9053667227482 40.8242154000565, -73.90510941799882 40.824834492201056))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,261136,Morrisania,0.0447977865042,236.532312738,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90484723008049 40.82547946533965, -73.90480655081087 40.825585119374935))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,289470,Morrisania,0.00759587525931,40.1062213918,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90480655081087 40.825585119374935, -73.90429290023417 40.82691918494968))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,289471,Morrisania,0.0959110995597,506.410605661,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90492117421188 40.825287411816724, -73.90486806226973 40.82542536001808))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002566,Morrisania,0.00991760931761,52.3649771845,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90486806226973 40.82542536001808, -73.90484723008049 40.82547946533965))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002567,Morrisania,0.00388984570036,20.5383852836,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90645722205174 40.821715363895386, -73.90607647456447 40.822566500803))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002625,Melrose,0.0620296530549,327.51656813,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90607647456447 40.822566500803, -73.90603996884327 40.82264810466162))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002628,Morrisania,0.0059471876872,31.4011509882,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90603996884327 40.82264810466162, -73.90573181839761 40.82333693636098))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002629,Morrisania,0.0502011632878,265.062142155,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90573181839761 40.82333693636098, -73.90539745335353 40.8241414603185))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002630,Morrisania,0.0582156423725,307.378591737,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90539745335353 40.8241414603185, -73.9053667227482 40.8242154000565))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002631,Morrisania,0.00535031578077,28.2496673172,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90510941799882 40.824834492201056, -73.90508265737247 40.82489887995862))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002633,Morrisania,0.00465912566659,24.6001835338,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90508265737247 40.82489887995862, -73.90501753452057 40.82505556667758))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002634,Morrisania,0.0113379359928,59.8643020321,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90501753452057 40.82505556667758, -73.90498929751327 40.825123504751424))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002635,Morrisania,0.00491603953529,25.9566887419,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90498929751327 40.825123504751424, -73.90492117421188 40.825287411816724))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002636,Morrisania,0.0118603929357,62.6228747238,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-74.00443204901936 40.67370109522937, -74.00507901800565 40.672363821569554))",Red Hook Recreation Center,Brooklyn,HENRY STREET,Lorraine St,Bay St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,21848,Red Hook,0.098335069524,519.209167092,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.97753101652609 40.6981158124442, -73.97738952769024 40.69638602552427))",Commodore Barry Park,Brooklyn,NORTH ELLIOTT PLACE,Park Ave,Flushing Ave,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,29954,Fort Greene,0.119589518905,631.432659834,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.9053667227482 40.8242154000565, -73.90510941799882 40.824834492201056))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,261136,Morrisania,0.0447977865042,236.532312738,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90484723008049 40.82547946533965, -73.90480655081087 40.825585119374935))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,289470,Morrisania,0.00759587525931,40.1062213918,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90480655081087 40.825585119374935, -73.90429290023417 40.82691918494968))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,289471,Morrisania,0.0959110995597,506.410605661,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90492117421188 40.825287411816724, -73.90486806226973 40.82542536001808))",Morrisiana,Bronx,TRINITY AVENUE,E 166 St,E 161 St,Full Block,06/25/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,9002566,Morrisania,0.00991760931761,52.3649771845,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
